	feature_name	psi	is_stable	train_class_num	test_class_num	train_value_num	test_value_num
0	Unnamed: 0	0.05267374370812135	1	426	143	426	143
1	mean radius	0.15477927745454262	1	366	132	426	143
2	mean texture	0.050593157957137924	1	372	138	426	143
3	mean perimeter	0.0597681065707213	1	396	139	426	143
4	mean area	0.06276894350975455	1	414	140	426	143
5	mean smoothness	0.06788389636310878	1	370	133	426	143
6	mean compactness	0.12314037202919428	1	405	141	426	143
7	mean concavity	0.044734955529040915	1	413	137	426	143
8	mean concave points	0.02505692648003291	1	409	138	426	143
9	mean symmetry	0.04024662396547356	1	341	133	426	143
10	mean fractal dimension	0.05431500116729365	1	381	137	426	143
11	radius error	0.08442130941151282	1	414	140	426	143
12	texture error	0.11809132096087006	1	400	140	426	143
13	perimeter error	0.11995498147458322	1	408	142	426	143
14	area error	0.21470839689246787	0	401	141	426	143
15	smoothness error	0.16285878912011392	1	411	143	426	143
16	compactness error	0.1025048324747369	1	410	142	426	143
17	concavity error	0.0938059611705858	1	404	139	426	143
18	concave points error	0.08495527949927467	1	387	138	426	143
19	symmetry error	0.11309615914251243	1	388	137	426	143
20	fractal dimension error	0.10435902718347995	1	411	143	426	143
21	worst radius	0.048235416450091995	1	361	135	426	143
22	worst texture	0.10586160067699961	1	394	137	426	143
23	worst perimeter	0.06037670833731118	1	396	140	426	143
24	worst area	0.020922833961405825	1	414	143	426	143
25	worst smoothness	0.032023605682060335	1	332	136	426	143
26	worst compactness	0.057873024730214696	1	401	143	426	143
27	worst concavity	0.037987869131021285	1	405	140	426	143
28	worst concave points	0.05533803373566222	1	380	133	426	143
29	worst symmetry	0.016925132680455476	1	2	2	426	143
30	worst fractal dimension		0	1	1	426	143
